Data os of Date,Zip Code,Program Type,Female Count,Female Percentage,Male Count,Male Percentage,Gender Nonconforming Count,Gender Nonconforming Percentage,American Indian or Alaskan Native Count,American Indian or Alaskan Native Percentage,Asian Count,Asian Percentage,Black or African American Count,Black or African American Percentage,Multi-race Count,Multi-race Percentage,Native Hawaiian or Other Pacific Islander Count,Native Hawaiian or Other Pacific Islander Percentage,White or Caucasian Count,White or Caucasian Percentage,Hispanic or Latinx Count,Hispanic or Latinx Percentage,Not Hispanic or Latinx Count,Not Hispanic or Latinx Percentage,Not Sure Count,Not Sure Percentage,X (Not Male Or Female) Count,X (Not Male Or Female) Percentage,Another Gender Count,Another Gender Percentage,Decline to Answer Count,Decline to Answer Percentage,Do not understand the question Count,Do not understand the question Percentage,Female Gender Identity Count,Female Gender Identity Percentage,Male Gender Identity Count,Male Gender Identity Percentage,Multi-Gender Identity Count,Multi-Gender Identity Percentage,Non-Binary (not Female or Male) Count,Non-Binary (not Female or Male) Percentage,Not Sure Gender Identity Count,Not Sure Gender Identity Percentage,Two Spirit (Native American/First Nations) Count,Two Spirit (Native American/First Nations) Percentage,Middle Eastern and North African Count,Middle Eastern and North African Percentage,Other Count,Other Percentage
07/16/2020,0,Beacon,3,0.1,4,0.13,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,1,0.03,6,0.2,0,0,0,0,0,0,1,0.03,0,0,2,0.06,2,0.06,0,0,0,0,0,0,0,0,0,0,5,0.16
07/16/2020,1017,Cornerstone,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,2121,Beacon,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,2420,Beacon,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0
07/16/2020,2453,Beacon,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,2904,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,3045,Beacon,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,3045,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,3102,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,6109,Beacon,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,6120,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,6260,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,6473,Beacon,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,6489,Beacon,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,6516,Beacon,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,2,0.06
07/16/2020,6604,Beacon,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,6606,Cornerstone,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,6614,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,6704,Cornerstone,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,6810,Beacon,0,0,2,0.06,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,6840,Beacon,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,6851,Beacon,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,6851,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,6897,Beacon,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,6903,Beacon,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7002,Beacon,1,0.03,2,0.06,0,0,0,0,0,0,2,0.06,1,0.03,0,0,0,0,1,0.03,2,0.06,0,0,0,0,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7002,Cornerstone,0,0,3,0.1,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7003,Beacon,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7005,Beacon,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7010,Beacon,1,0.03,2,0.06,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,2,0.06,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,2,0.06
07/16/2020,7011,Cornerstone,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7017,Beacon,3,0.1,2,0.06,0,0,0,0,0,0,4,0.13,0,0,0,0,0,0,0,0,5,0.16,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7017,Cornerstone,1,0.03,2,0.06,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7020,Beacon,2,0.06,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7020,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7024,Beacon,0,0,3,0.1,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,2,0.06,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,2,0.06
07/16/2020,7026,Beacon,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,2,0.06
07/16/2020,7030,Beacon,0,0,2,0.06,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7031,Beacon,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7031,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7032,Beacon,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7036,Beacon,1,0.03,3,0.1,0,0,0,0,1,0.03,3,0.1,0,0,0,0,0,0,0,0,4,0.13,0,0,0,0,0,0,1,0.03,0,0,1,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7039,Beacon,3,0.1,2,0.06,0,0,0,0,5,0.16,0,0,0,0,0,0,0,0,0,0,5,0.16,0,0,0,0,0,0,1,0.03,0,0,2,0.06,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7044,Beacon,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7047,Beacon,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,2,0.06
07/16/2020,7047,Cornerstone,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7050,Beacon,1,0.03,2,0.06,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7054,Beacon,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7055,Beacon,0,0,4,0.13,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,3,0.1,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,3,0.1
07/16/2020,7055,Cornerstone,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7060,Beacon,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7065,Beacon,1,0.03,1,0.03,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7065,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7071,Beacon,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7073,Beacon,1,0.03,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7079,Beacon,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7083,Beacon,0,0,3,0.1,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7086,Adult Literacy - BENL/ESOL (Discretionary),1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7086,Beacon,1,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,2,0.06,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7087,Beacon,2,0.06,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7087,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7090,Beacon,1,0.03,1,0.03,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7092,Beacon,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7093,Adult Literacy - BENL/ESOL (Discretionary),0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7093,Beacon,1,0.03,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7093,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7102,Beacon,1,0.03,2,0.06,0,0,0,0,2,0.06,1,0.03,0,0,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7103,Beacon,2,0.06,1,0.03,0,0,0,0,1,0.03,2,0.06,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,2,0.06,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7103,Cornerstone,0,0,2,0.06,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7104,Beacon,1,0.03,2,0.06,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,2,0.06,1,0.03,0,0,0,0,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,2,0.06
07/16/2020,7105,Adult Literacy - BENL/ESOL,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7106,Beacon,1,0.03,2,0.06,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7106,COMPASS Middle School,2,0.06,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7107,Beacon,0,0,5,0.16,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,4,0.13,1,0.03,0,0,0,0,0,0,4,0.13,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,4,0.13
07/16/2020,7107,Cornerstone,1,0.03,2,0.06,0,0,0,0,0,0,2,0.06,0,0,0,0,1,0.03,1,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7108,Beacon,1,0.03,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7109,Beacon,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7111,Beacon,1,0.03,6,0.2,0,0,0,0,0,0,7,0.23,0,0,0,0,0,0,0,0,7,0.23,0,0,0,0,0,0,0,0,0,0,1,0.03,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7112,COMPASS Middle School,0,0,2,0.06,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7114,Cornerstone,0,0,3,0.1,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7208,Beacon,0,0,2,0.06,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7302,Beacon,0,0,4,0.13,0,0,0,0,2,0.06,2,0.06,0,0,0,0,0,0,0,0,4,0.13,0,0,0,0,0,0,0,0,0,0,0,0,4,0.13,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7304,Adult Literacy - BENL/ESOL (Discretionary),1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0
07/16/2020,7304,Beacon,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7304,Cornerstone,1,0.03,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7305,Beacon,0,0,6,0.2,0,0,0,0,1,0.03,5,0.16,0,0,0,0,0,0,0,0,6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,4,0.13,0,0,0,0,1,0.03,0,0,0,0,0,0
07/16/2020,7305,Cornerstone,1,0.03,1,0.03,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7306,Beacon,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7306,Cornerstone,1,0.03,2,0.06,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,2,0.06,1,0.03,0,0,0,0,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,2,0.06
07/16/2020,7307,Beacon,2,0.06,2,0.06,0,0,0,0,2,0.06,0,0,0,0,0,0,2,0.06,0,0,4,0.13,0,0,0,0,0,0,0,0,0,0,2,0.06,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7307,COMPASS Middle School,1,0.03,1,0.03,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7307,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7310,Beacon,1,0.03,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7401,Beacon,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7407,Beacon,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7450,Beacon,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7463,Beacon,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7504,Adult Literacy - BENL/ESOL,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7524,Beacon,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7524,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7600,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7601,Beacon,1,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,3,0.1
07/16/2020,7601,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7603,Beacon,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7604,Beacon,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
07/16/2020,7621,Beacon,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2020,7628,Beacon,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,2,0.06
07/16/2020,7631,Beacon,2,0.06,3,0.1,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,3,0.1,2,0.06,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0.13
07/16/2020,7631,Cornerstone,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
